Volume,Page,KF Scientific Name,KF Scientific Name,AH Scientific Name,AH Common Name,"Dimensions (hxw, cm)",Place Name-1,Year-1,Place Name-2,Year-2,Place Name-3,Year-3,Place Name-4,Year-4,Place Name-5,Year-5,Place Name-6 ,Year-6,Place Name-7,Year-7,Place Name-8,Year-8,,
1,3,Clematis virginiana L ,,Clematis virginiana L ,Virginia virgin's-bower,38.1 x 29.1,Brunswick,nd,Topsham,nd,Orono,1891,,,,,,,,,,,,
1,4,Anemone multifida DC ,,Anemone multifida Poir ,cut-leaved windflower,37.0 x 26.5,Saint Francis,1881,,,,,,,,,,,,,,,,
1,5,Anemone cylindrica Gray ,,Anemone cylindrica Gray ,long-headed windflower,38.2 x 28.2,South Poland,1896,Chesterville Plains,1878,,,,,,,,,,,,,,
1,6,Anemone virginiana L ,Anemone riparia Fernand ,Anemone virginiana L ,tall windflower,38.3 x 28.9,Fort Fairfield,1880,Chesterville,1896,South Poland,1895,Kents Hill,1892,,,,,,,,,,
1,8,Anemone riparia Fernand ,,Anemone virginiana L ,tall windflower,38.8 x 27.9,Fort Kent,1881,Gilead,1897,,,,,,,,,,,,,,
1,9,Anemone gringrefolia L ,Anemone nemorosa L ,Anemone nermorosa L ,European windflower,26.2 x 19.0,Brunswick,1870,Topsham,1870,South Poland,1893,Wells,1898,Brunswick,1875,,,,,,,,
1,10,Hepatica triloba Chaix ,,Anemone americana (DC) H Hara,blunt-lobed hepatica,22.2 x 20.2,Brunswick,1890,Wells,1898,Fayette,1878,South Poland,1893,,,,,,,,,,
1,11,Hepatica triloba Chaix ,,Anemone americana (DC) H Hara,blunt-lobed hepatica,20.2 x 20.2,Brunswick,nd,,,,,,,,,,,,,,,,
1,12,Hepatica triloba Chaix ,,Anemone americana (DC) H Hara,blunt-lobed hepatica,25.6 x 23.1,Brunswick,1886,,,,,,,,,,,,,,,,
1,13,Thalictrum polygomum Muhl ,,Thalictrum pubescens Pursh ,tall meadow-rue,38.7 x 28.2,Brunswick,1892,Moosehead Lake,1891,South Poland,1895,,,,,,,,,,,,
1,14,Thalictrum doicium L ,,Thalictrum doicium L ,early meadow-rue,39.8 x 28.0,Brunswick,1875,Rangeley,1882,South Poland,1893,Wells,1898,,,,,,,,,,
1,15,Thalictrum polygomum Muhl ,,Thalictrum pubescens Pursh ,tall meadow-rue,31.5 x 22.9,Brunswick,1874,Moosehead Lake,1895,South Poland,1895,Wells,1898,,,,,,,,,,
1,16,Thalictrum polygomum Muhl ,,Thalictrum pubescens Pursh ,tall meadow-rue,31.1 x 21.5,Livermore Falls,1875,,,,,,,,,,,,,,,,
1,17,Ranunculus aquatilis L ,,Ranunculus aquatilis L ,white water crowfoot,37.0 x 27.5,Fort Kent,1881,,,,,,,,,,,,,,,,
1,18,Ranunculus cymbalaria L ,,Ranunculus cymbalaria Pursh,seaside crowfoot,27.4 x 19.5,Harpswell Neck,1871,Brunswick,1891,Wells,1898,,,,,,,,,,,,
1,20,Ranunculus ambigens,Rannuculus laxicaulus Darby ,Rannuculus ambigens S Wats ,water-plantain crowfoot,38.2 x 27.9,North Berwick,1896,,,,,,,,,,,,,,,,
1,21,Hepatica triloba Chaix ,,Anemone americana (DC) H Hara,blunt-lobed hepatica,37.0 x 23.9,Snow's Falls,1905,,,,,,,,,,,,,,,,
1,22,Ranunculus flammulla L ,Ranunculus flammulla L ,Ranunculus flammulla L ,creeping crowfoot,31.5 x 23.9,Chesterville Ridge,1875,Fayette Ridge,1877,,,,,,,,,,,,,,
1,23,Ranunculus abortivus L ,,Ranunculus abortivus L ,kidney-leaveDCrowfoot,38.0 x 27.5,Brunswick,nd,York Beach,1898,South Poland,1893,,,,,,,,,,,,
1,24,Ranunculus abortivus L ,,Ranunculus abortivus L ,kidney-leaveDCrowfoot,38.5 x 27.5,Gilead,1897,York Beach,1898,,,,,,,,,,,,,,
